Год|Описание
1480|Набег Менгли-Гирея на Подолье[37]. Этот набег крымского хана был связан со «стоянием на реке Угре». Действия Менгли-Гирея вынудили великого князя литовского и короля польского Казимира Ягеллончика отказаться от соединения с ханом Золотой Орды Ахматом, который выступил в большой карательный поход на Русское государство. Великий князь московский Иван III Васильевич, союзник Менгли-Гирея, собрав большие силы на реке Угра, отразил все попытки ордынцев переправиться и затем вынудил Ахмат-хана отступить в свои кочевья[37].
1482|Войска Менгли Гирея захватили и разрушили Киев — сожгли замок, разграбили церкви и взяли большое количество пленных[37]. Среди пленных был воевода киевский Иван Ходкевич с семьёй.
1485—1487|Крымские татары ежегодно вторгались в южные земли Великого княжества Литовского и опустошали Подолье.
1488|Зимой орда кочевала в Подолье, откуда летом собиралась совместно с турками выступить в поход на Украину. Польский король Казимир Ягеллон вновь отправил против татар своего сына Яна Ольбрахта вместе с польско-шляхетским войском. Поляки стали на польско-литовской границе и не допустили татар в Галицию[37].
1489|В сентябре 1487 года во время нового вторжения татар в польско-литовские владения польский королевич Ян I Ольбрахт разгромил пятитысячный татарский «загон» в бою под селом Коперстин, в Подолье. Татары потеряли убитыми тысячу пятьсот человек, много татар было взято в плен[37].
1490|заволжские и крымские татары совершили новое нападение на польско-литовские пограничные владения. Татары сильно опустошили Волынское и Русское воеводства. Отдельные татарские отряды достигали окрестностей Люблина. Татары страшно разорили Волынь, разграбили и выжгли Владимир-Волынский и многие другие города и местечки, захватив огромное количество пленников. Во время возвращения татарской орды 25 января 1491 года соединённые польско-литовские войска под предводительством каштеляна львовского Николая из Хорча и старосты луцкого Семёна Гольшанского внезапно настигли на татар под Заславом, на реке Горынь. В битве польские и волынские войска разгромили девятитысячный татарский «загон», отбив у них весь захваченный полон. В Заславской битве заволжские и крымские татары понесли крупные людские потери[37].
1493|Весной крымский хан Менгли-Гирей предпринял военный поход на южные литовские земли. Крымская орда двинулась на Киев, но из-за сильного разлива Днепра хан Менгли-Гирей вынужден был прекратить поход. Отдельные татарские «загоны» осуществляли нападения в пограничные литовские владения, разоряя киевские, брацлавские и черниговские земли. В том же 1493 году крымский хан Менгли-Гирей дважды «садился на коня», собираясь лично возглавить военные походы на Литовское государство[38].
1494|Осенью крымская орда сильно опустошила Подолье и Волынь, захватила огромное количество пленных и большую добычу. Соединенные польско-литовские полки стали преследовать отступающую орду. В битве под Вишневцем крымцы разбили польско-литовское войско и вернулись с полоном в степные улусы[38]
1495|Крымские татары под командованием сына Менгли-Гирея совершили нападение на Волынь. Князь-магнат Семён Юрьевич Гольшанский, староста луцкий и маршал Волынской земли, собрал местное шляхетское ополчение и разбил татарские отряды, осаждавшие город Корец[38].
1496|Крымский хан Менгли-Гирей организовал новый военный поход на пограничные литовские владения. Большая татарская орда под руководством сыновей хана Менгли-Гирея сильно разорила Волынь. Староста луцкий и маршалок Волынской земли Гольшанский, наместник владимирский Василий Хрептович и князья Михаил и Константин Ивановичи Острожские с волынскими боярами и дружинами укрылись в Ровно. Крымские царевичи осадили замок. Осажденные сделали вылазку, но были разбиты превосходящими силами врага. Крымцы захватили, разграбили и выжгли Ровно, но городской замок взять штурмом не смогли[38].
1497|Зимой огромная татарская орда под командованием крымского царевича опустошила Волынскую землю. Крымские татары полностью разорили волынские волости, а также некоторые пограничные польские земли. Во время похода крымцы взяли огромное количество пленников и спокойно вернулись в свои степи. Весной следующего года крымские татары продолжали совершать набеги на литовские земли, грабя, убивая и пленяя беззащитных жителей. В марте крымско-татарские «загоны» ворвались на Волынь и разорили окрестности Кременца. Крупный литовский князь-магнат Михаил Иванович Острожский, собрав свою дружину, двинулся в погоню за отступающими татарами. В бою под Полонным Михаил Острожский наголову разбил крупный крымский отряд и освободил всех пленников. Весь татарский отряд был перебит. Другие татарские отряды были разбиты в Киевском Полесье и на Брацлавщине[38]. Летом крымские татары вторглись в южные литовские владения и разорили мозырские и оливские волости, захватив множество пленников. Князья Михаил и Константин Ивановичи Острожские вместе со своими дружинами бросились в погоню за крымцами. В сражении на реке Сороке, на Брацлавщине, братья-князья Острожские разбили крупный татарский «загон», освободив всех захваченных пленников. Триста сорок татар было убито, среди убитых находился крымский царевич Акмала[38].
1498|Весной 100-тысячное турецко-молдавское войско вторглось в южные польско-литовские владения. Молдаване и турки-османы не встретили сопротивления и сильно разорили Галицию. Были взяты приступом и разорены Перемышль, Ярослав и Переворск. Поляки отстояли Львов, предместья которого были разорены и сожжены. Страшная паника охватила всю Польшу. Польский король Ян Ольбрахт сразу объявил о созыве шляхетского ополчения для отражения вражеского нападения. После отступления врагов во Львов прибыло польско-шляхетское ополчение, собранное королём. После роспуска польского ополчения крымская орда вступила в пограничные польско-литовские владения. Крымско-татарские «загоны», не встречая сопротивления, опустошили Подолье и Галицию[39].
1499|Крымско-татарские отряды совершали походы на литовские пограничные владения. Летом того же 1499 года крымские татары разоряли Белзскую землю, несколько раз совершали набеги на Подолье и Брацлавщину[39].
1500|Разорены Киевская, Волынская, Холмская и Белзская земли. Великий князь московский Иван III Васильевич просил своего союзника, крымского хана Менгли-Гирея, совершать набеги на Слуцк, Пинск, Туров и Минск, но просил его не воевать Северщину, «бо за ласкою божою ти городи и земли тепер наша». Весной 1500 года сыновья Менгли-Гирея совершили поход на Киевщину и Волынь. Отдельные татарские отряды проникали в Белзщину и Холмщину, доходя до реки Вислы. Король польский Ян Ольбрахт Ягеллон с польским ополчением двинулся против крымских царевичей, но татары смогли спокойно вернуться домой с многочисленным полоном. Осенью крымский хан вместе с русскими воеводами собирался воевать Киев и собрал 15-тысячное войско. Не дождавшись известий от Ивана III Васильевича, крымский хан Менгли-Гирей выслал татарскую орду вместе со своими сыновьями на южные польские и литовские владения. Крымские татары опустошили Брацлавщину, Волынь и Берестейщину, Белзскую, Львовскую, Холмскую, Люблинскую и Сандомирскую земли. Крымцы взяли штурмом и выжгли Хмельник, Кременец, Львов, Белз, Холм, Красностав, Люблин и другие города, захватив в плен пятьдесят тысяч человек. По приказу короля Яна Ольбрахта спешно было собрано польское ополчение для отражения татарской орды, но крымские царевичи успели отступить в свои степи[39].
